Species,Target As,Game,Location,Environment,Time,Weater,Season,SOS
Tentacruel,Tentacruel,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Geodude,Geodude,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Graveler,Graveler,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Golem,Graveler,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ponyta,Ponyta,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Rapidash,Rapidash,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Slowpoke,Slowpoke,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Slowbro,Slowbro,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Magnemite,Magnemite,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Magneton,Magneton,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Farfetch'd,Farfetch'd,Diamond,Route 221,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Doduo,Doduo,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Dodrio,Dodrio,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Seel,Seel,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Dewgong,Dewgong,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Grimer,Grimer,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Muk,Muk,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Shellder,Shellder,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Cloyster,Cloyster,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gastly,Gastly,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Haunter,Haunter,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gengar,Gengar,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Onix,Onix,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Drowzee,Drowzee,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Hypno,Hypno,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Krabby,Krabby,Diamond,Route 226,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Kingler,Krabby,Diamond,Route 226,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Voltorb,Voltorb,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Electrode,Electrode,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Exeggcute,Exeggcute,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Exeggutor,Exeggutor,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Cubone,Cubone,Diamond,Route 203,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Marowak,Cubone,Diamond,Route 203,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Hitmonlee,Hitmonlee,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Hitmonchan,Hitmonchan,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Lickitung,Lickitung,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Koffing,Koffing,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Weezing,Koffing,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Rhyhorn,Rhyhorn,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Rhydon,Rhydon,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Chansey,Chansey,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Tangela,Tangela,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Kangaskhan,Kangaskhan,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Horsea,Horsea,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Seadra,Seadra,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Goldeen,Goldeen,Omega Ruby,Route 102,Good Rod,N/A,N/A,N/A,N/A
Seaking,Seaking,Omega Ruby,Safari Zone - North East,Super Rod,N/A,N/A,N/A,N/A
Staryu,Staryu,Ultra Sun,Route 7,Fish,All Day,N/A,N/A,Initial
Starmie,Staryu,Ultra Sun,Route 7,Fish,All Day,N/A,N/A,Initial
Mr. Mime,Mr. Mime,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Scyther,Scyther,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Jynx,Smoochum,Diamond,Lake Acuity,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Electabuzz,Electabuzz,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Magmar,Magmar,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Pinsir,Pinsir,Pearl,Route 229,Walk- PokeRadar,N/A,N/A,N/A,N/A
Tauros,Tauros,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Magikarp,Magikarp,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gyarados,Gyarados,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Lapras,Lapras,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ditto,Ditto,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Eevee,Eevee,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Vaporeon,Vaporeon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Jolteon,Jolteon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Flareon,Flareon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Porygon,Porygon,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Omanyte,Omanyte,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Omastar,Omastar,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Kabuto,Kabuto,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Kabutops,Kabutops,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Aerodactyl,Aerodactyl,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Snorlax,Munchlax,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Articuno,Articuno,Ultra Sun,Ultra Space Wilds - Cliff,Interact,All Day,N/A,N/A,N/A
Zapdos,Zapdos,Ultra Sun,Ultra Space Wilds - Cliff,Interact,All Day,N/A,N/A,N/A
Moltres,Moltres,Ultra Sun,Ultra Space Wilds - Cliff,Interact,All Day,N/A,N/A,N/A
Dratini,Dratini,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Dragonair,Dragonair,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Dragonite,Dragonair,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Mewtwo,Mewtwo,Ultra Sun,Ultra Space Wilds - Forest,Interact,All Day,N/A,N/A,N/A
Mew,Mew,Emerald,Faraway Island - Forest,Interact,N/A,N/A,N/A,N/A
Chikorita,Chikorita,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Bayleef,Chikorita,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Meganium,Chikorita,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Cyndaquil,Cyndaquil,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Quilava,Cyndaquil,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Typhlosion,Cyndaquil,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Totodile,Totodile,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Croconaw,Totodile,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Feraligatr,Totodile,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Sentret,Sentret,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Furret,Furret,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Hoothoot,Hoothoot,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Noctowl,Noctowl,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ledyba,Ledyba,X,Route 4,Red Flowers - PokeRadar,N/A,N/A,N/A,N/A
Ledian,Ledian,Diamond,Route 229,Walk- PokeRadar,Morning,N/A,N/A,N/A
Spinarak,Spinarak,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ariados,Ariados,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Crobat,Crobat,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Chinchou,Chinchou,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Lanturn,Lanturn,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Pichu,Pichu,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Cleffa,Cleffa,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Igglybuff,Igglybuff,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Togepi,Togepi,Legends: Arceus,Cobalt Coastlands: Massive Mass Outbreak,Cobalt Coastlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Togetic,Togetic,Legends: Arceus,Cobalt Coastlands: Massive Mass Outbreak,Cobalt Coastlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Natu,Natu,Diamond,Route 224,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Xatu,Natu,Diamond,Route 224,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Mareep,Mareep,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Flaaffy,Flaaffy,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ampharos,Ampharos,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Bellossom,Bellossom,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Marill,Marill,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Azumarill,Azumarill,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Sudowoodo,Sudowoodo,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Politoed,Poliwhirl,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Hoppip,Hoppip,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Skiploom,Skiploom,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Jumpluff,Jumpluff,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Aipom,Aipom,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Sunkern,Sunkern,Diamond,Route 204 - North,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Sunflora,Sunflora,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Yanma,Yanma,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Wooper,Wooper,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Quagsire,Quagsire,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Espeon,Espeon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Umbreon,Umbreon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Murkrow,Murkrow,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Slowking,Slowpoke,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Misdreavus,Misdreavus,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Unown,Unown,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Wobbuffet,Wobbuffet,Diamond,Lake Verity - After Galactic,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Girafarig,Girafarig,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Pineco,Pineco,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Forretress,Forretress,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Dunsparce,Dunsparce,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gligar,Gligar,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Steelix,Steelix,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Snubbull,Snubbull,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Granbull,Granbull,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Qwilfish,Qwilfish,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Scizor,Scizor,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Shuckle,Shuckle,Diamond,Route 224,Emerald Inserted- PokeRadar,N/A,N/A,N/A,N/A
Heracross,Heracross,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Sneasel,Sneasel,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Teddiursa,Teddiursa,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ursaring,Ursaring,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Slugma,Slugma,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Magcargo,Slugma,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Swinub,Swinub,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Piloswine,Piloswine,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Corsola,Corsola,Diamond,Route 230,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Remoraid,Remoraid,Omega Ruby,Battle Resort - Island,Super Rod,N/A,N/A,N/A,N/A
Octillery,Remoraid,Omega Ruby,Battle Resort - Island,Super Rod,N/A,N/A,N/A,N/A
Delibird,Delibird,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Mantine,Mantine,Legends: Arceus,Cobalt Coastlands: Massive Mass Outbreak,Cobalt Coastlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Skarmory,Skarmory,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Houndour,Houndour,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Houndoom,Houndoom,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Kingdra,Seadra,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Phanpy,Phanpy,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Donphan,Donphan,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Porygon2,Porygon,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Stantler,Stantler,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Smeargle,Smeargle,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Tyrogue,Tyrogue,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Hitmontop,Hitmontop,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Smoochum,Smoochum,Diamond,Lake Acuity,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Elekid,Elekid,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Magby,Magby,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Miltank,Miltank,Diamond,Route 209,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Blissey,Blissey,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
